X,mean,VSD_MOEA_D_Distance,MOEA_D_DE_Distance,NSGA_II_Distance,NSGA_III_Distance,R2_EMOA_Distance,VSD_MOEA_D_HV,MOEA_D_DE_HV,NSGA_II_HV,NSGA_III_HV,R2_EMOA_HV
1,$0\%$,2.185,2.183,2.183,2.183,2.184,0.000,0.000,0.000,0.000,0.000
2,$10\%$,2.432,1.111,0.583,0.104,0.498,0.716,0.213,0.675,0.584,0.705
3,$20\%$,2.404,1.121,0.610,0.140,0.500,0.798,0.258,0.698,0.617,0.715
4,$30\%$,2.490,1.138,0.613,0.132,0.511,0.913,0.292,0.714,0.632,0.718
5,$40\%$,2.440,1.148,0.616,0.125,0.506,0.947,0.321,0.721,0.637,0.723
6,$50\%$,2.384,1.159,0.619,0.069,0.515,0.954,0.350,0.723,0.639,0.724
7,$60\%$,2.387,1.164,0.585,0.096,0.511,0.963,0.386,0.727,0.640,0.725
8,$70\%$,2.389,1.178,0.538,0.088,0.523,0.968,0.406,0.730,0.646,0.727
9,$80\%$,2.390,1.188,0.557,0.088,0.527,0.972,0.421,0.731,0.654,0.728
10,$90\%$,2.390,1.188,0.497,0.078,0.529,0.974,0.430,0.734,0.654,0.728
11,$100\%$,2.390,1.190,0.497,0.078,0.537,0.975,0.439,0.734,0.654,0.733
