X,mean,VSD_MOEA_D_Distance,MOEA_D_DE_Distance,NSGA_II_Distance,NSGA_III_Distance,R2_EMOA_Distance,VSD_MOEA_D_HV,MOEA_D_DE_HV,NSGA_II_HV,NSGA_III_HV,R2_EMOA_HV
1,$0\%$,1.805956,1.810034,1.808157,1.8,1.81023,0,0,0,0,0
2,$10\%$,1.69453,0,0.017176,8E-05,0,0,0.8308432,0.9173258,0.9889625,0.8892437
3,$20\%$,1.287885,0,0.001324,0.000125,0,0,0.8338837,0.9453498,0.9891078,0.9017074
4,$30\%$,0.893249,0,0.000472,4.2E-05,0,0.05470061,0.833895,0.9530001,0.9891944,0.9091632
5,$40\%$,0.546404,0,0.000584,1.2E-05,0,0.850914,0.8371574,0.9529664,0.98914,0.9164052
6,$50\%$,0.000109,0,0.000597,6.9E-05,0,0.963616,0.8390999,0.9569822,0.9891985,0.9176183
7,$60\%$,0,0,0.000463,0.00012,0,0.9823723,0.8402678,0.9633445,0.989203,0.9189161
8,$70\%$,0,0,0.000678,1E-05,0,0.9824091,0.840547,0.9638217,0.9892081,0.9193413
9,$80\%$,0,0,0.000548,7.5E-05,0,0.9824142,0.8418875,0.9638483,0.9892511,0.919395
10,$90\%$,0,0,0.00055,1E-05,0,0.9824345,0.841887,0.9659465,0.9892621,0.9201948
11,$100\%$,0,0,0.00055,1E-05,0,0.982454,0.8421947,0.9659465,0.9892621,0.9207996
