X,mean,VSD_MOEA_D_Distance,MOEA_D_DE_Distance,NSGA_II_Distance,NSGA_III_Distance,R2_EMOA_Distance,VSD_MOEA_D_HV,MOEA_D_DE_HV,NSGA_II_HV,NSGA_III_HV,R2_EMOA_HV,,,,,
1,$0\%$,1.811,1.811,1.811,1.811,1.811,0.850,0.850,0.850,0.850,0.850,0.259,0.258,0.263,0.263,0.259
2,$10\%$,2.581,0.000,0.030,0.130,0.000,0.886,0.877,0.871,0.881,0.879,0.886,0.877,0.871,0.881,0.879
3,$20\%$,2.170,0.000,0.030,0.020,0.000,0.891,0.878,0.872,0.883,0.880,0.891,0.878,0.872,0.883,0.880
4,$30\%$,1.720,0.000,0.030,0.000,0.000,0.893,0.879,0.873,0.884,0.881,0.893,0.879,0.873,0.884,0.881
5,$40\%$,1.340,0.000,0.030,0.000,0.000,0.895,0.879,0.875,0.884,0.882,0.895,0.879,0.875,0.884,0.882
6,$50\%$,0.000,0.000,0.030,0.000,0.000,0.897,0.879,0.876,0.885,0.882,0.897,0.879,0.876,0.885,0.882
7,$60\%$,0.000,0.000,0.030,0.000,0.000,0.900,0.880,0.876,0.885,0.883,0.900,0.880,0.876,0.885,0.883
8,$70\%$,0.000,0.000,0.030,0.000,0.000,0.902,0.880,0.877,0.886,0.883,0.902,0.880,0.877,0.886,0.883
9,$80\%$,0.000,0.000,0.030,0.000,0.000,0.904,0.881,0.877,0.887,0.884,0.904,0.881,0.877,0.887,0.884
10,$90\%$,0.000,0.000,0.030,0.000,0.000,0.905,0.882,0.878,0.888,0.884,0.905,0.882,0.878,0.888,0.884
11,$100\%$,0.000,0.000,0.030,0.000,0.000,0.905,0.882,0.878,0.888,0.885,0.905,0.882,0.878,0.888,0.885
