X,mean,VSD_MOEA_D_Distance_0,VSD_MOEA_D_Distance_0_4,VSD_MOEA_D_Distance_1_0,VSD_MOEA_D_HV_0,VSD_MOEA_D_HV_0_4,VSD_MOEA_D_HV_1_0
1,$0\%$,1.806,1.806,1.806,0.179,0.179,0.179
2,$10\%$,0.122,1.916,2.914,0.839,0.906,0.795
3,$20\%$,0.094,1.596,2.815,0.839,0.933,0.799
4,$30\%$,0.082,1.419,2.353,0.840,0.958,0.852
5,$40\%$,0.078,0.620,1.578,0.840,0.970,0.928
6,$50\%$,0.071,0.058,0.085,0.840,0.975,0.973
7,$60\%$,0.063,0.040,0.049,0.840,0.975,0.975
8,$70\%$,0.056,0.035,0.047,0.841,0.976,0.975
9,$80\%$,0.051,0.032,0.042,0.841,0.976,0.975
10,$90\%$,0.047,0.031,0.038,0.841,0.976,0.975
11,$100\%$,0.048,0.029,0.039,0.841,0.976,0.976
