X,mean,VSD_MOEA_D_Distance,MOEA_D_DE_Distance,NSGA_II_Distance,NSGA_III_Distance,R2_EMOA_Distance,VSD_MOEA_D_HV,MOEA_D_DE_HV,NSGA_II_HV,NSGA_III_HV,R2_EMOA_HV
1,$0\%$,2.184777,2.183042,2.183449,2.183449,2.183832,0,0,0,0,0
2,$10\%$,2.431733,1.111309,0.465845,0.016439,0.527396,0.659376,0.2125954,0.5966063,0.4086383,0.6549011
3,$20\%$,2.40379,1.121038,0.401001,0.010617,0.537407,0.7175186,0.258021,0.5981057,0.4086383,0.6646814
4,$30\%$,2.48974,1.138372,0.348431,0.010617,0.553543,0.8582957,0.2916635,0.598471,0.4086383,0.6715328
5,$40\%$,2.439514,1.147987,0.260004,0.011432,0.553543,0.9344786,0.3211121,0.598471,0.4086383,0.6715328
6,$50\%$,2.383552,1.15902,0.148579,0.010617,0.559703,0.9460995,0.3500621,0.598471,0.4086383,0.6741059
7,$60\%$,2.386935,1.163706,0.069434,0.010617,0.560123,0.9571402,0.3861986,0.598471,0.4086383,0.6741059
8,$70\%$,2.389166,1.17817,0.071229,0.010617,0.559947,0.9633841,0.4063419,0.598471,0.4086383,0.6758154
9,$80\%$,2.390078,1.187713,0.071379,0.010617,0.559947,0.9668127,0.4214481,0.598471,0.4086383,0.6758154
10,$90\%$,2.39009,1.188488,0.071229,0.010617,0.543456,0.9690964,0.4299562,0.598471,0.4086383,0.6778855
11,$100\%$,2.184777,1.189661,0.071229,0.010617,0.557598,0.9705829,0.4390015,0.598471,0.4086383,0.6790832
