X,mean,VSD_MOEA_D_Distance,MOEA_D_DE_Distance,NSGA_II_Distance,NSGA_III_Distance,R2_EMOA_Distance,VSD_MOEA_D_HV,MOEA_D_DE_HV,NSGA_II_HV,NSGA_III_HV,R2_EMOA_HV
1,$0\%$,1.805956,1.810034,1.808157,1.808157,1.81023,0,0,0,0,0
2,$10\%$,1.69453,0,0,0,0,0,0.8308432,0.8677898,0.9184733,0.545952
3,$20\%$,1.287885,0,0,0,0,0,0.8338837,0.8727104,0.9185304,0.5651482
4,$30\%$,0.893249,0,0,0,0,0.003351503,0.833895,0.8750921,0.9185289,0.581908
5,$40\%$,0.546404,0,0,0,0,0.793037,0.8371574,0.8784401,0.9185295,0.5921993
6,$50\%$,0.000109,0,0,0,0,0.9610025,0.8390999,0.8821352,0.9185299,0.6017688
7,$60\%$,0,0,0,0,0,0.9808858,0.8402678,0.8825499,0.91853,0.6073856
8,$70\%$,0,0,0,0,0,0.9808812,0.840547,0.8844644,0.9185299,0.6146986
9,$80\%$,0,0,0,0,0,0.9808841,0.8418875,0.8850626,0.9185297,0.6187486
10,$90\%$,0,0,0,0,0,0.980915,0.841887,0.8875764,0.9185297,0.6254456
11,$100\%$,0,0,0,0,0,0.9809222,0.8421947,0.8875764,0.9185296,0.6281789
